x,y,z,qx,qy,qz,qw
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01,-4.999999999999998890e-01,-5.000000000000000000e-01,5.000000000000001110e-01
-3.302711993455886841e-03,5.201107705943286419e-04,1.911457977257668972e-03,-7.147739493878095714e-03,8.570145379753603063e-03,-7.525542707310479637e-05,9.999376739510384970e-01
-4.081342369318008423e-03,-1.115524908527731895e-03,1.843276666477322578e-03,-7.135722580922829530e-03,8.594636865818053653e-03,-3.346247348184747176e-05,9.999375770874490144e-01
-4.523974377661943436e-03,1.189793692901730537e-03,1.646202174015343189e-03,-7.120640494006878936e-03,8.569947344502159073e-03,-1.631721174395092645e-04,9.999379049334066183e-01
-3.845537081360816956e-03,1.103201764635741711e-03,1.872780616395175457e-03,-7.067913870972930383e-03,8.627643005368184140e-03,-1.243407373412268313e-04,9.999378080698393401e-01
-3.179922932758927345e-03,1.370766432955861092e-03,2.249744022265076637e-03,-7.083376728085627114e-03,8.731128908386865187e-03,-2.632654212791169456e-04,9.999368766889066285e-01
-3.895532805472612381e-03,3.199882805347442627e-03,2.395844087004661560e-03,-7.073373187151417614e-03,8.736247800381801570e-03,-1.878243623400279729e-04,9.999369810036142781e-01
-4.494058899581432343e-03,1.412615762092173100e-03,2.100860001519322395e-03,-6.919152959417310816e-03,8.732996917874123743e-03,-1.136013049719056110e-04,9.999381955240519426e-01
-3.915243782103061676e-03,2.986623207107186317e-03,2.612047595903277397e-03,-7.079438274546368676e-03,8.811969221935379154e-03,-2.944017987559965823e-04,9.999363327620406361e-01
-3.494666190817952156e-03,2.445577178150415421e-03,1.999660162255167961e-03,-7.059230222161479856e-03,8.744050010061290082e-03,-2.414430637874334911e-04,9.999371374756552688e-01
-3.801838960498571396e-03,2.224367344751954079e-03,2.145824488252401352e-03,-7.037506586233034135e-03,8.698553830171314866e-03,-2.065052446997686696e-04,9.999376814020835003e-01
-3.988114651292562485e-03,2.276531886309385300e-03,1.883012941107153893e-03,-7.014789148584546150e-03,8.671786989541541493e-03,-1.551129800483580078e-04,9.999380986605128641e-01
-3.814021125435829163e-03,3.109203535132110119e-04,2.019641920924186707e-03,-6.952215446493529953e-03,8.625073047319197633e-03,-8.162308049598298134e-05,9.999390821975502330e-01
-5.380076356232166290e-03,3.162520471960306168e-03,2.234928542748093605e-03,-6.929913277757757985e-03,8.704819437141504343e-03,-1.879054992264953591e-04,9.999386202333047091e-01
-5.578964017331600189e-03,1.888462225906550884e-03,2.902509411796927452e-03,-7.041773437573720616e-03,8.842470814569297274e-03,-9.686955407737081426e-05,9.999367276678768901e-01
-4.136651754379272461e-03,2.952442038804292679e-03,2.405057195574045181e-03,-7.040646669940853891e-03,8.782177050556670347e-03,-2.104098193035365788e-04,9.999372939476718347e-01
